nom_produit,prix,categorie,note,source_file
"NIVEA Déodorant Bille Black & White Invisible (1 x 50ml), déodorant femme anti-traces blanches et jaunes, anti-transpirant anti odeur & humidité, protection efficace 72 h, sans alcool","1,89€",Cosmétique et Beauté,"4,5",nivea_amazon.csv
"NIVEA Q10 - Baume Corps Multi Power 4-En-1 Fermeté + Remodelant - Hydrate & Soutient L'Élasticité De La Peau - Q10 & Extrait De Soja - Raffermit Cuisses, Fesses & Ventre - Tous Types De Peaux - 300 ml","10,99€",Cosmétique et Beauté,"4,4",nivea_amazon.csv
"NIVEA Crème tube de soin universel, crème hydratante classique pour tous les types de peau, soin riche avec eucérite apparentée à la peau (100 ml)","8,33€",Cosmétique et Beauté,"4,5",nivea_amazon.csv
"NIVEA MEN Crème hydratante 3-en-1 (lot de 5 x 150 ml), Crème visage, corps et mains nourrissante pour homme, Soin hydratant enrichi en Vitamine E et Glycérine","20,54€",Cosmétique et Beauté,"4,6",nivea_amazon.csv
"NIVEA Crème de soin universel, crème hydratante classique pour tous les types de peau, soin riche avec eucérite apparentée à la peau (150 ml)",,Cosmétique et Beauté,"4,7",nivea_amazon.csv
"NIVEA MEN Déodorant Spray Black & White Invisible (1 x 200 ml), déodorant homme anti-traces blanches et jaunes, anti-transpirant anti odeur & humidité, protection efficace 72 h, sans alcool","2,38€",Cosmétique et Beauté,"4,5",nivea_amazon.csv
"NIVEA SUN Fluide UV visage Luminous 630 FPS 50+ (1 x 40 ml), Protection solaire anti taches à la formule légère et non grasse, Soin visage anti-âge protecteur quotidien","10,67€",Cosmétique et Beauté,"4,4",nivea_amazon.csv
"NIVEA NATURALLY GOOD Family Care Crème multi-usage pour toute la famille (1 x 450 ml), Crème 3-en-1 enrichie en huile d’amande douce 100% naturelle, Crème visage- corps–mains (Lot de 2)","12,10€",Cosmétique et Beauté,"4,8",nivea_amazon.csv
"NIVEA Cellular Expert Filler - Soin Visage Anti-Age Repulpant - Crème De Nuit - Hydrate, Raffermit, Redonne Volume & Réduit Rides - Acide Hyaluronique & Acide Folique Pur - Tous Types De Peaux - 50 ml","12,98€",Cosmétique et Beauté,"4,4",nivea_amazon.csv
"NIVEA Lot Crèmes douche Soin (6 x 250 ml), enrichie à la Vitamine C & E et Huile d'Amande douce, Soin corps hydratant qui nettoie respecte et renforce le microbiome pour peaux sèches","12,47€",Cosmétique et Beauté,"4,7",nivea_amazon.csv
NIVEA Q10 Power Soin de Jour FPS15 — Crème hydratante visage anti rides – Soin solaire visage au Q10 Pur & Acide Hyaluronique — Crème anti rides femme extra fermeté contre les signes de l'âge — 50ml,"11,40€",Cosmétique et Beauté,"4,5",nivea_amazon.csv
NIVEA - Gel Douche Corps Derma Control Restore - Douceur & Soin - Enrichi En Acide Hyaluronique Pur & Vitamine E - Parfum Hypoallergénique - pH Neutre - Peaux Sensibles - 250 ml,"1,95€",Cosmétique et Beauté,"4,5",nivea_amazon.csv
"NIVEA - Lait Démaquillant Visage Douceur - Efficacité Waterproof - Démaquille, Hydrate & Apaise - Sans Assécher - Huile D'Amande Douce Et Hydramine® - Vegan - Peaux Sèches & Sensibles - 200 ml","4,15€",Cosmétique et Beauté,"4,6",nivea_amazon.csv
NIVEA MEN Gel douche Réveil Express Power (1 x 250 ml) — Soin lavant vivifiant enrichi en Infusion d'Agrumes — Gel douche homme 3 EN 1 — Soin nettoyant Corps Visage & Cheveux Effet Frais 24H,"2,90€",Cosmétique et Beauté,"4,6",nivea_amazon.csv
"NIVEA SUN Spray solaire activateur de bronzage Protect & Bronze FPS 30 (1 x 200 ml), huile solaire avec protection UVA/UVB pour un hâle naturellement bronzé","8,69€",Cosmétique et Beauté,"4,7",nivea_amazon.csv
"NIVEA Luminous 630 Coffret Soin de jour & Soin de nuit (1x1 pce), Crème visage anti taches pigmentaires au Thiamidol & Acide Hyaluronique, Coffret cadeau femme soin anti-âge, crème hydratante visage","36,01€",Cosmétique et Beauté,"4,4",nivea_amazon.csv
NYX Professional Makeup Fat Oil Body Butter - Beurre Fouetté Corps - Hydratation 24H & Fini Glowy - Texture Riche & Onctueuse - Notes de Vanille & Crème fouettée - Teinte : Caramelt Mami - 145 ml,"18,00€",Cosmétique et Beauté,"4,7",nivea_amazon.csv
"NIVEA Luminous 630 - Sérum Skin Glow - Soin Visage Anti-Taches - Hydrate & Affine Les Pores - Thiamidol Breveté, Niacinamide & Aloe Vera - Vegan - Tous Types De Peaux - 30 ml","16,99€",Cosmétique et Beauté,"4,1",nivea_amazon.csv
NIVEA Luminous 630 - Sérum Visage Anti-Âge & Anti-Taches d'Hyperpigmentation - Combleur de Rides & Booster de Collagène - Acide Hyaluronique & Thiamidol Breveté - 30 ml,"18,63€",Cosmétique et Beauté,"4,4",nivea_amazon.csv
NIVEA Crème Mains 3 en 1 Repair & Care 75 ml – Réparation intense Peaux Très Sèches & Rugueuses – 20% Glycérine & Pro‑Vitamine B5 – Soin Hydratation jusqu’à 72h – Non grasse,"2,39€",Cosmétique et Beauté,"4,6",nivea_amazon.csv
"NIVEA Q10 Soin de Nuit Extra Nourrisant (1x50 ml), crème anti rides enrichie en Q10 pur & Huile d'Argan, crème anti-âge nourrissante, soin hydratant visage peaux sèches à très sèches","12,99€",Cosmétique et Beauté,"4,4",nivea_amazon.csv
"NIVEA Derma Skin Clear Soin Exfoliant Quotidien Nuit (1 x 40 ml), Soin de nuit 8% acides salicylique & glycolique & niacinamide, Crème visage anti points noirs pour peaux à imperfections","6,74€",Cosmétique et Beauté,"4,4",nivea_amazon.csv
NIVEA Cellular Expert Lift - Soin Visage Anti-Age Lissant - Crème De Nuit - Lisse & Réduit Les Rides - Collagène Booster - Acide Hyaluronique & Bakuchiol Naturel - Tous Types De Peaux - 50 ml,"14,36€",Cosmétique et Beauté,"4,5",nivea_amazon.csv
"NIVEA - Eau Micellaire Derma Skin Clear - Visage, Yeux, Lèvres - Nettoie En Douceur, Démaquille & Réduit Les Imperfections - 5% Sérum Avec PHA & Acide Salicylique - Peaux À Imperfections - 400 ml","4,25€",Cosmétique et Beauté,"4,2",nivea_amazon.csv
"NIVEA NATURALLY GOOD Soin de Jour Coup d’Éclat 50 ml, Soin visage avec 99% d’ingrédients d’origine naturelle, crème de jour à l'Aloe Vera BIO & aux huiles précieuses","6,70€",Cosmétique et Beauté,"4,4",nivea_amazon.csv
"NIVEA Repair & Care - Crème Corps, Visage & Mains - Hydratation 72H - Exfolie En Douceur - Protège La Barrière Cutanée - Glycérine, Provitamine B5 & Urée - Peaux Extra-Sèches & Rugueuses - 400 ml","8,97€",Cosmétique et Beauté,"4,5",nivea_amazon.csv
"NIVEA MEN Creme Crème Hydratante Hydratante pour le corps, le visage et les mains 75 ml","6,34€",Cosmétique et Beauté,"4,6",nivea_amazon.csv
"NIVEA MEN Déodorant anti-transpirant Dry Impact (lot de 6 x 50 ml), Déodorant bille pour homme sans alcool, Antitranspirant protection 72 H","16,57€",Cosmétique et Beauté,"4,5",nivea_amazon.csv
"NIVEA MEN Crème hydratante anti-âge à l'acide hyaluronique, au pro-rétinol et SPF 15 - Crème pour le visage hydratante pendant 24 h et réduction visible des rides (50 ml)","17,99€",Cosmétique et Beauté,"4,5",nivea_amazon.csv
NIVEA MEN Gel Douche Energy (1 x 250 ml) - Soin lavant enrichi en extrait de menthe vivifiante - Gel douche homme 3 EN 1 — Soin nettoyant Corps Visage & Cheveux Vivifiant Effet Fraîcheur 24H,"2,36€",Cosmétique et Beauté,"4,5",nivea_amazon.csv
"NIVEA Crème de douche Soin (1 x 500 ml), enrichie à l’Huile de pépin de Raison & Amande douce, Soin corps hydratant qui nettoie respecte et renforce le microbiome pour peaux sèches","3,79€",Cosmétique et Beauté,"4,5",nivea_amazon.csv
"NIVEA Luminous 630 Coffret Soin de jour & Sérum (1x1 pce), Soins visage anti taches pigmentaires au Thiamidol & Acide Hyaluronique, Coffret cadeau femme soin anti-âge, crème hydratante visage","41,80€",Cosmétique et Beauté,"4,3",nivea_amazon.csv
"NIVEA Luminous 630 - Soin Contour Des Yeux - Anti-Cernes & Poches - Eclat De La Peau - Yeux Reposés, Lumineux & Visiblement Plus Jeunes - Acide Hyaluronique & Caféine - Tous Types de Peaux - 15 ml","15,21€",Cosmétique et Beauté,"4,1",nivea_amazon.csv
NIVEA Luminous 630 - Serum Visage Post-Acné - Réduit L'Apparence Des Marques - Effet Matifiant 12H - Teint Unifié - Thiamidol Breveté & Acide Hyaluronique - Peaux Grasses À Imperfections - 30 ml,"17,71€",Cosmétique et Beauté,"4,2",nivea_amazon.csv
"NIVEA Gel de toilette intime apaisant, Aloé vera & acide lactique - Le flacon de 250ml",,Cosmétique et Beauté,"4,6",nivea_amazon.csv
"NIVEA MEN Active Age Soin de Jour Anti-Âge Complet (1 x 50 ml), Soin visage enrichi en créatine et caféine, Crème homme 6-en-1 hydratant & anti-âge à la texture légère","11,50€",Cosmétique et Beauté,"4,4",nivea_amazon.csv
Nivea Intimo Natural Lotion - 250 ml,"2,69€",Cosmétique et Beauté,"4,7",nivea_amazon.csv
"NIVEA MEN Sérum Power 2-en-1 LUMINOUS630® anti-âge & anti-taches (1 x 30 ml), Sérum hydratant visage enrichi en acide hyaluronique, Soin homme pour tous types de peaux","12,99€",Cosmétique et Beauté,"4,4",nivea_amazon.csv
NIVEA - Soin De Jour Fraîcheur - Crème Visage FPS 15 - Hydratation Intense 24H - Repulpe & Rafraîchit - Vitamine E & Extrait De Lotus - Texture Légère - Peaux Normales - 50 ml,"4,90€",Cosmétique et Beauté,"4,5",nivea_amazon.csv
"NIVEA MEN Peau Sensible Mousse à Raser (200 ml), crème de rasage enrichie en camomille et en hamamélis, soin rasage 0% alcool pour homme","2,35€",Cosmétique et Beauté,"4,6",nivea_amazon.csv
NIVEA - Soin De Jour Matifiant - Crème Visage Hydratation Intense 24H - Réduit Le Sébum & Unifie Le Teint - Aloe Vera Bio & Minéraux - Texture Fondante - Vegan - Peaux Mixtes - 50 ml,,Cosmétique et Beauté,"4,5",nivea_amazon.csv
"NIVEA Cellular Expert Lift - Soin Contour Des Yeux & Lèvres - Anti-Age - Repulpe, Raffermit, Hydrate & Réduit Les Rides - Acide Hyaluronique & Acide Folique - Tous Types De Peaux - 15 ml","15,50€",Cosmétique et Beauté,"4,3",nivea_amazon.csv
NIVEA SUN - Lait Après Soleil Hydratant 48H - Rafraîchit & Apaise La Peau - Aloe Vera Bio & Acide Hyaluronique - Formule Légère & Non Grasse - Tous Types De Peaux - 200 ml,"6,95€",Cosmétique et Beauté,"4,7",nivea_amazon.csv
"NIVEA Cellular Expert Filler - Soin Visage Anti-Age Repulpant FPS30 - Crème De Jour - Hydrate, Raffermit & Réduit Les Rides - Acide Hyaluronique & Acide Folique Pur - Tous Types De Peaux - 50 ml","12,99€",Cosmétique et Beauté,"4,4",nivea_amazon.csv
"NIVEA - Soft Daily UV FPS 15 - Crème Corps, Visage & Mains - Hydratation 48H & Protection UVA/UVB - Huile De Jojoba - Texture Légère & Non Grasse - Vegan - Tous Types De Peaux - 200 ml","6,49€",Cosmétique et Beauté,"4,8",nivea_amazon.csv
NIVEA Cellular Expert Lift - Soin Visage Anti-Age Remodelant FPS30 - Crème De Jour - Lisse & Réduit Les Rides - Collagène Booster - Acide Hyaluronique & Bakuchiol Naturel - Tous Types De Peaux - 50 ml,"12,41€",Cosmétique et Beauté,"4,4",nivea_amazon.csv
"NIVEA - Coffret Soin Visage Anti-Âge Q10 Anti-Rides - Sérum Double Action Anti-Rides (30 ml) + Soin de Jour Anti-Rides & Fermeté (50 ml) - Q10 Pur, Créatine & Glycostop - Tous Types de Peaux","26,10€",Cosmétique et Beauté,"4,4",nivea_amazon.csv
"NIVEA MEN - Crème Hydratante Visage Quotidienne - Boost D'Hydratation Immédiat - Peau Sensible - Format XXL - Sans Parfum - Complexe VitaminPRO - 5 Protections - Non Grasse, Non Collante - 100 ml","9,50€",Cosmétique et Beauté,"4,4",nivea_amazon.csv
NIVEA - Coffret Soin Visage Anti-Âge Q10 Expert anti-rides - Combleur de Rides Ciblé (15 ml) + Soin de Jour Anti-Rides & Fermeté (50 ml) - Q10 Pur & Créatine - Tous Types de Peaux,"25,20€",Cosmétique et Beauté,"4,6",nivea_amazon.csv
"NIVEA Cellular Expert Filler - Soin Visage Anti-Age Repulpant - Crème De Nuit - Hydrate, Raffermit, Redonne Volume & Réduit Rides - Acide Hyaluronique & Acide Folique Pur - Tous Types De Peaux - 50 ml","12,98€",Cosmétique et Beauté,"4,4",nivea_amazon.csv
Nivea Crème Boite Edition Limitée 150 ml - Modèle aléatoire,"2,99€",Cosmétique et Beauté,"4,6",nivea_amazon.csv
"NIVEA SUN Lait solaire Sensitive protection immédiate FPS 50+ (1x200 ml), protection anti UV non parfumée & résistante à l’eau, écran solaire texture légère non grasse pour peaux sensibles","13,86€",Cosmétique et Beauté,"4,6",nivea_amazon.csv
"NIVEA Q10 Pores Resserrés Soin de Jour FPS15 (1x50 ml), crème anti rides enrichie en Q10 Pur, crème anti-âge & anti brillance, soin visage matifiant peaux mixtes à grasses","11,99€",Cosmétique et Beauté,"4,5",nivea_amazon.csv
"NIVEA Q10 - Serum Lait Corps Hydratant - Raffermit en 7 Jours & Revitalise la Peau - Q10, Acide Hyaluronique & Vitamine C - Texture Légère & Non Grasse - Tous Types de Peaux - 200 ml","8,25€",Cosmétique et Beauté,"4,1",nivea_amazon.csv
"NIVEA Luminous 630 - Sérum Skin Glow - Soin Visage Anti-Taches - Hydrate & Affine Les Pores - Thiamidol Breveté, Niacinamide & Aloe Vera - Vegan - Tous Types De Peaux - 30 ml","16,99€",Cosmétique et Beauté,"4,1",nivea_amazon.csv
NIVEA SUN Bâton Visage SPF 50+ & PA++++ 15 g,"15,85€",Cosmétique et Beauté,"4,3",nivea_amazon.csv
NIVEA Q10 Plus Lotion corporelle raffermissante à la vitamine C 400 ml,"10,09€",Cosmétique et Beauté,"4,6",nivea_amazon.csv
"NIVEA Luminous630® Lait Corps Anti Vergetures et Taches (1 x 200 ml), soin corps anti tache hydratant 48h réducteur de vergetures, soin femme pour tous types de peaux","11,49€",Cosmétique et Beauté,"4,2",nivea_amazon.csv
"NIVEA Luminous 630 Crème Mains (1 x 50 ml), Crème anti taches pigmentaires pour les mains, Soin des mains anti-âge hydratant SPF 15","5,99€",Cosmétique et Beauté,"4,3",nivea_amazon.csv
NIVEA MEN - Trousse Sensitive - Gel Douche 3-en-1 (250 ml) + Mousse À Raser (200 ml) + Baume Après-Rasage (100 ml) + Crème Visage FPS 15 (75 ml) - Routine Apaisante Corps & Visage - Peaux Sensibles,"21,99€",Cosmétique et Beauté,"4,7",nivea_amazon.csv
NIVEA - Gel Nettoyant Fraîcheur - Visage - Hydrate & Elimine Les Impuretés - Tonifie & Rafraîchit - Fleurs De Lotus & Hydramine - Peaux Normales À Mixtes - 150 ml,"6,92€",Cosmétique et Beauté,"4,4",nivea_amazon.csv
"NIVEA MEN Soin Hydratant Extra Doux Peau Sensible (1x75 ml), crème visage hydratante pour homme à la peau sensible et irritée, soin visage homme apaisant 0% alcool","9,69€",Cosmétique et Beauté,"4,4",nivea_amazon.csv
"NIVEA Crème mains nourrissante peaux très sèches (1 x 75 ml), soin hydratant à l'huile d'amande douce, crème mains hydratante efficace 24 h",,Cosmétique et Beauté,"4,7",nivea_amazon.csv
"NIVEA Crème-Huile Soufflé Perlé Pot Fleur de Cerisier/Huile de Jojoba (1X200), soin corps hydratant ml",,Cosmétique et Beauté,"4,7",nivea_amazon.csv
NIVEA Lait corps Hydratation Express 72h (1 x 400 ml) — Lait hydratant à l'Acide Hyaluronique pur — Soin pour le corps hydratant rapide — Sérum nourrissant peaux normales,"8,09€",Cosmétique et Beauté,"4,6",nivea_amazon.csv
"NIVEA Q10 Sensitive Soin de Nuit (1 x 50 ml), crème anti rides enrichie en Q10 pur et extrait de réglisse, crème anti-âge booster de collagène, soin visage apaisant pour peaux sensibles","11,99€",Cosmétique et Beauté,"4,5",nivea_amazon.csv
NIVEA MEN Gel Douche Sensitive (1 x 250 ml) — Soin lavant enrichi à l'extrait de Bambou — Gel douche homme 3 EN 1 — Soin nettoyant doux Corps Visage & Cheveux pour les peaux sensibles,"2,38€",Cosmétique et Beauté,"4,5",nivea_amazon.csv
"NIVEA Q10 Energy Soin de Jour FPS15 (1x50 ml), crème anti rides enrichie en Q10 pur & Vitamine C, crème anti-âge pour un teint éclatant, soin visage énergisant pour peaux ternes et fatiguées","12,02€",Cosmétique et Beauté,"4,4",nivea_amazon.csv
"NIVEA - Patch Visage Ultra Purifiant Fraîcheur - Désobstrue Les Pores - Retire Points Noirs, Impuretés & Excès De Sébum - Peau Purifiée, Nette & Fraîche - Acide Citrique - Tous Types De Peaux - x 6","5,30€",Cosmétique et Beauté,"4,2",nivea_amazon.csv
"NIVEA MEN Crème Visage Gel Peau & Barbe pour peaux sensibles (1 x 50 ml), crème visage hydratante homme 0% alcool, soin barbe homme apaisant à la peau sensible et irritée","6,79€",Cosmétique et Beauté,"4,4",nivea_amazon.csv
"NIVEA Rouge à lèvres Blackberry Shine, 4,8 g de soin","5,44€",Cosmétique et Beauté,"4,3",nivea_amazon.csv
NIVEA SUN Sérum Primer Quotidien UV 2en1 SPF 50+ (1 x 30ml) - Sérum Visage hydratant enrichi en Acide Hyaluronique - Base de maquillage - Soin avec écran solaire visage SPF 50+ sans parfum,"11,99€",Cosmétique et Beauté,"4,4",nivea_amazon.csv
NIVEA Protect&care Déodorant Atomiseur Spray 200 ml,"4,19€",Cosmétique et Beauté,"4,6",nivea_amazon.csv
"NIVEA Déodorant anti-transpirant Dry Comfort (lot de 6 x 50 ml), Déo bille pour femme protection 72H, Déo femme à la formule sans alcool pour tous types de peaux","17,16€",Cosmétique et Beauté,"4,7",nivea_amazon.csv
"NIVEA MEN - Crème Hydratante Visage Quotidienne - Hydratation Immédiate & 48H - Hydrocare - Format XXL - Aloe Vera & Pro-Vitamin B5-3 Effets Hydratants - Non Grasse, Non Collante - 100 ml","9,00€",Cosmétique et Beauté,"4,4",nivea_amazon.csv
"NIVEA Lot de 2 Cellular Expert Lift Kit de crème anti-rides de jour et de nuit SPF 30, 2x50 ml","24,98€",Cosmétique et Beauté,"4,6",nivea_amazon.csv
"NIVEA Crème visage, corps & mains (2 x 200 ml), crème hydratante à la texture onctueuse enrichie en Eucerit, soin hydratant multiusage pour toute la famille","5,81€",Cosmétique et Beauté,"4,5",nivea_amazon.csv
"NIVEA MEN - Crème Hydratante Visage Quotidienne - Hydratation Immédiate & 48H - Hydrocare - Format XXL - Aloe Vera & Pro-Vitamin B5-3 Effets Hydratants - Non Grasse, Non Collante - 100 ml","9,00€",Cosmétique et Beauté,"4,4",nivea_amazon.csv
NIVEA SUN Spray Solaire Protect & Hydrate Kids Coloré SPF 50+ 200 ml — Crème Solaire résistante à l'eau — Haute Protection Visage et Corps pour la peau délicate des Enfants,"10,00€",Cosmétique et Beauté,"4,8",nivea_amazon.csv
NIVEA Lot de 6 flacons de lait corporel pour peaux sèches 400 ml,"51,64€",Cosmétique et Beauté,"4,6",nivea_amazon.csv
"NIVEA CELLULAR Epigenetics Sérum rajeunissant avec EPICELLINE, réinitialise l'âge de la peau en 2 semaines, soin du visage révolutionnaire avec 3 types d'acide hyaluronique (30 ml)","24,88€",Cosmétique et Beauté,"4,4",nivea_amazon.csv
"NIVEA Creme Care Sensitive Soin du visage et du corps pour une hydratation intense pendant 48 heures, crème hydratante non grasse pour peaux sensibles et sèches (200 ml)","7,58€",Cosmétique et Beauté,"3,6",nivea_amazon.csv
"NIVEA Crème de douche Soin (1 x 250 ml), enrichie à la Vitamine C & E et Huile d'Amande douce, Soin corps hydratant qui nettoie respecte et renforce le microbiome pour peaux sèches","1,95€",Cosmétique et Beauté,"4,5",nivea_amazon.csv
"NIVEA MEN Déodorant Spray Dry Impact (1 x 200 ml), déodorant homme protection efficace 72 h, anti-transpirant aisselles testé et approuvé dans les situations du quotidien","2,82€",Cosmétique et Beauté,"4,5",nivea_amazon.csv
"NIVEA - Coffret Soin Visage Anti-Âge Q10 Anti-Rides - Sérum Double Action Anti-Rides (30 ml) + Soin de Jour Anti-Rides & Fermeté (50 ml) - Q10 Pur, Créatine & Glycostop - Tous Types de Peaux","26,10€",Cosmétique et Beauté,"4,4",nivea_amazon.csv
